raw_symbol,instrument_id,price_path,funding_path,start_ts,end_ts,price_coverage_ratio,funding_coverage_ratio,data_cls,bar_spec,catalog_path
BTCUSDT-PERP,BTCUSDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,1.0,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ETHUSDT-PERP,ETHUSDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,1.0,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
SOLUSDT-PERP,SOLUSDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,1.0,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
BNBUSDT-PERP,BNBUSDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,1.0,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
HYPEUSDT-PERP,HYPEUSDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,1.0,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT01USDT-PERP,ALT01USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.99,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT02USDT-PERP,ALT02USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.98,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT03USDT-PERP,ALT03USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.97,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT04USDT-PERP,ALT04USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.96,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT05USDT-PERP,ALT05USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.95,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT06USDT-PERP,ALT06USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.94,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT07USDT-PERP,ALT07USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.93,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT08USDT-PERP,ALT08USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.92,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT09USDT-PERP,ALT09USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.91,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT10USDT-PERP,ALT10USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.90,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT11USDT-PERP,ALT11USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.89,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT12USDT-PERP,ALT12USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.88,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT13USDT-PERP,ALT13USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.87,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT14USDT-PERP,ALT14USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.86,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT15USDT-PERP,ALT15USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.85,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT16USDT-PERP,ALT16USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.84,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT17USDT-PERP,ALT17USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.83,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT18USDT-PERP,ALT18USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.82,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT19USDT-PERP,ALT19USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.81,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT20USDT-PERP,ALT20USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.80,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT21USDT-PERP,ALT21USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.79,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT22USDT-PERP,ALT22USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.78,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT23USDT-PERP,ALT23USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.77,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT24USDT-PERP,ALT24USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.76,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
ALT25USDT-PERP,ALT25USDT-PERP.BINANCE,price_placeholder.csv,funding_placeholder.csv,2025-12-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.75,nautilus_trader.model.data:Bar,60-MINUTE-LAST,
