raw_symbol,instrument_id,market_cap_usd,volume_24h_usd,listed_ts,delisted_ts,first_price_ts,price_history_start_ts,price_history_end_ts,price_coverage_ratio,funding_coverage_ratio,screen_rank,market_cap_source,volume_24h_source,metadata_source
ALT01USDT-PERP,ALT01USDT-PERP.BINANCE,18000000,1200000,2025-05-01T00:00:00Z,,2025-05-01T00:00:00Z,2025-05-01T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.99,1,example,example,example
ALT02USDT-PERP,ALT02USDT-PERP.BINANCE,21000000,1350000,2025-05-05T00:00:00Z,,2025-05-05T00:00:00Z,2025-05-05T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.98,2,example,example,example
ALT03USDT-PERP,ALT03USDT-PERP.BINANCE,25000000,1450000,2025-05-10T00:00:00Z,,2025-05-10T00:00:00Z,2025-05-10T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.97,3,example,example,example
ALT04USDT-PERP,ALT04USDT-PERP.BINANCE,28000000,1550000,2025-05-12T00:00:00Z,,2025-05-12T00:00:00Z,2025-05-12T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.96,4,example,example,example
ALT05USDT-PERP,ALT05USDT-PERP.BINANCE,30000000,1650000,2025-05-15T00:00:00Z,,2025-05-15T00:00:00Z,2025-05-15T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.95,5,example,example,example
ALT06USDT-PERP,ALT06USDT-PERP.BINANCE,32000000,1750000,2025-05-18T00:00:00Z,,2025-05-18T00:00:00Z,2025-05-18T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.94,6,example,example,example
ALT07USDT-PERP,ALT07USDT-PERP.BINANCE,34000000,1850000,2025-05-21T00:00:00Z,,2025-05-21T00:00:00Z,2025-05-21T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.93,7,example,example,example
ALT08USDT-PERP,ALT08USDT-PERP.BINANCE,36000000,1950000,2025-05-24T00:00:00Z,,2025-05-24T00:00:00Z,2025-05-24T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.92,8,example,example,example
ALT09USDT-PERP,ALT09USDT-PERP.BINANCE,38000000,2050000,2025-05-27T00:00:00Z,,2025-05-27T00:00:00Z,2025-05-27T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.91,9,example,example,example
ALT10USDT-PERP,ALT10USDT-PERP.BINANCE,40000000,2150000,2025-05-30T00:00:00Z,,2025-05-30T00:00:00Z,2025-05-30T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.90,10,example,example,example
ALT11USDT-PERP,ALT11USDT-PERP.BINANCE,42000000,2250000,2025-06-02T00:00:00Z,,2025-06-02T00:00:00Z,2025-06-02T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.89,11,example,example,example
ALT12USDT-PERP,ALT12USDT-PERP.BINANCE,44000000,2350000,2025-06-05T00:00:00Z,,2025-06-05T00:00:00Z,2025-06-05T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.88,12,example,example,example
ALT13USDT-PERP,ALT13USDT-PERP.BINANCE,46000000,2450000,2025-06-08T00:00:00Z,,2025-06-08T00:00:00Z,2025-06-08T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.87,13,example,example,example
ALT14USDT-PERP,ALT14USDT-PERP.BINANCE,48000000,2550000,2025-06-11T00:00:00Z,,2025-06-11T00:00:00Z,2025-06-11T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.86,14,example,example,example
ALT15USDT-PERP,ALT15USDT-PERP.BINANCE,50000000,2650000,2025-06-14T00:00:00Z,,2025-06-14T00:00:00Z,2025-06-14T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.85,15,example,example,example
ALT16USDT-PERP,ALT16USDT-PERP.BINANCE,52000000,2750000,2025-06-17T00:00:00Z,,2025-06-17T00:00:00Z,2025-06-17T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.84,16,example,example,example
ALT17USDT-PERP,ALT17USDT-PERP.BINANCE,54000000,2850000,2025-06-20T00:00:00Z,,2025-06-20T00:00:00Z,2025-06-20T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.83,17,example,example,example
ALT18USDT-PERP,ALT18USDT-PERP.BINANCE,56000000,2950000,2025-06-23T00:00:00Z,,2025-06-23T00:00:00Z,2025-06-23T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.82,18,example,example,example
ALT19USDT-PERP,ALT19USDT-PERP.BINANCE,58000000,3050000,2025-06-26T00:00:00Z,,2025-06-26T00:00:00Z,2025-06-26T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.81,19,example,example,example
ALT20USDT-PERP,ALT20USDT-PERP.BINANCE,60000000,3150000,2025-06-29T00:00:00Z,,2025-06-29T00:00:00Z,2025-06-29T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.80,20,example,example,example
ALT21USDT-PERP,ALT21USDT-PERP.BINANCE,62000000,3250000,2025-07-02T00:00:00Z,,2025-07-02T00:00:00Z,2025-07-02T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.79,21,example,example,example
ALT22USDT-PERP,ALT22USDT-PERP.BINANCE,64000000,3350000,2025-07-05T00:00:00Z,,2025-07-05T00:00:00Z,2025-07-05T00:00:00Z,2026-04-13T00:00:00Z,1.0,0.78,22,example,example,example
